Type,SFN,Status,Start Time,End Time,Execution Time
DAILY,ODP_DAILY_COMPACTION_SCHEDULE_START,SUCCEEDED,"Sep 27, 2020, 04:50","Sep 27, 2020, 04:50","0 mins, 1 secs"
DAILY,MAPP_RS_AUDIT_START,SUCCEEDED,"Sep 27, 2020, 04:50","Sep 27, 2020, 04:53","3 mins, 3 secs"
DAILY,MAPP_FLAT_FILE_COMPACTION,SUCCEEDED,"Sep 27, 2020, 04:53","Sep 27, 2020, 05:15","22 mins, 11 secs"
DAILY,MAPP_GLPROD_COMPACTION,SUCCEEDED,"Sep 27, 2020, 05:15","Sep 27, 2020, 07:04","1 hrs, 48 mins, 35 secs"
DAILY,MAPP_COMPACTION_GLPROD_INTRADAY,SUCCEEDED,"Sep 27, 2020, 07:04","Sep 27, 2020, 07:59","55 mins, 11 secs"
DAILY,MAPP_RS_AUDIT_FINISH,SUCCEEDED,"Sep 27, 2020, 07:59","Sep 27, 2020, 08:00","1 mins, 2 secs"
DAILY,MAPP_ENTITY_DAILY_MASTER_SCHEDULE,RUNNING,"Sep 27, 2020, 11:16",-,-
DAILY,MAPP_CDS_DAILY_MASTER_SCHEDULE,WAITING,-,-,-
DAILY,MAPP_UNSOURCED_SNAPSHOT_WRAPPER,BYPASSED,-,-,-
DAILY,MAPP_SNAPSHOT_WRAPPER,WAITING,-,-,-
DAILY,MAPP_REFRESH_SPOTFIRE,WAITING,-,-,-
