Type,SFN,Status,Start Time,End Time,Execution Time
DAILY,ODP_DAILY_COMPACTION_SCHEDULE_START,SUCCEEDED,"Aug 23, 2020, 04:50","Aug 23, 2020, 04:50","0 mins, 1 secs"
DAILY,MAPP_RS_AUDIT_START,SUCCEEDED,"Aug 23, 2020, 04:50","Aug 23, 2020, 04:52","1 mins, 58 secs"
DAILY,MAPP_FLAT_FILE_COMPACTION,SUCCEEDED,"Aug 23, 2020, 04:52","Aug 23, 2020, 05:17","25 mins, 3 secs"
DAILY,MAPP_GLPROD_COMPACTION,SUCCEEDED,"Aug 23, 2020, 05:17","Aug 23, 2020, 07:04","1 hrs, 47 mins, 11 secs"
DAILY,MAPP_COMPACTION_GLPROD_INTRADAY,SUCCEEDED,"Aug 23, 2020, 07:04","Aug 23, 2020, 07:34","29 mins, 53 secs"
DAILY,MAPP_RS_AUDIT_FINISH,SUCCEEDED,"Aug 23, 2020, 07:34","Aug 23, 2020, 07:36","1 mins, 53 secs"
DAILY,MAPP_ENTITY_DAILY_MASTER_SCHEDULE,SUCCEEDED,"Aug 23, 2020, 07:36","Aug 23, 2020, 08:56","1 hrs, 19 mins, 51 secs"
DAILY,MAPP_CDS_DAILY_MASTER_SCHEDULE,RUNNING,"Aug 23, 2020, 08:56",-,-
DAILY,MAPP_UNSOURCED_SNAPSHOT_WRAPPER,WAITING,-,-,-
DAILY,MAPP_SNAPSHOT_WRAPPER,WAITING,-,-,-
DAILY,MAPP_REFRESH_SPOTFIRE,WAITING,-,-,-
