Type,SFN,Status,Start Time,End Time,Execution Time
COMPACTION,ALIGNIQ_COMPACTION,SUCCEEDED,"Sep 15, 2020, 07:02","Sep 15, 2020, 07:16","14 mins, 4 secs"
COMPACTION,APTTUS_COMPACTION,SUCCEEDED,"Sep 15, 2020, 07:11","Sep 15, 2020, 07:33","21 mins, 55 secs"
COMPACTION,BF_EDHR_CS_COMPACTION,RUNNING,"Sep 15, 2020, 08:37",-,-
COMPACTION,BFE_COMPACTION,SUCCEEDED,"Sep 15, 2020, 06:29","Sep 15, 2020, 07:15","45 mins, 27 secs"
COMPACTION,CHU_COMPACTION,WAITING,-,-,-
COMPACTION,CONNECTIVITY_COMPACTION,SUCCEEDED,"Sep 15, 2020, 06:29","Sep 15, 2020, 06:53","24 mins, 13 secs"
COMPACTION,CSO_COMPACTION,WAITING,-,-,-
COMPACTION,DRM_COMPACTION,RUNNING,"Sep 15, 2020, 08:25",-,-
COMPACTION,ELICENSE_COMPACTION,WAITING,-,-,-
COMPACTION,FLAT_FILE_COMPACTION,SUCCEEDED,"Sep 15, 2020, 07:42","Sep 15, 2020, 08:14","31 mins, 49 secs"
COMPACTION,GIB_COMPACTION,WAITING,-,-,-
COMPACTION,GLA_COMPACTION,SUCCEEDED,"Sep 15, 2020, 01:30","Sep 15, 2020, 05:57","4 hrs, 27 mins, 9 secs"
COMPACTION,GLPROD_COMPACTION,RUNNING,"Sep 15, 2020, 06:29",-,-
COMPACTION,GPM_COMPACTION,SUCCEEDED,"Sep 15, 2020, 07:33","Sep 15, 2020, 08:37","1 hrs, 3 mins, 43 secs"
COMPACTION,MAPP_COMPACTION_GLPROD_INTRADAY,SUCCEEDED,"Sep 15, 2020, 06:29","Sep 15, 2020, 07:02","32 mins, 48 secs"
COMPACTION,MAPP_FLAT_FILE_COMPACTION,SUCCEEDED,"Sep 15, 2020, 04:54","Sep 15, 2020, 05:19","24 mins, 29 secs"
COMPACTION,MAPP_GLPROD_COMPACTION,SUCCEEDED,"Sep 15, 2020, 05:19","Sep 15, 2020, 06:29","1 hrs, 10 mins, 26 secs"
COMPACTION,MAPP_RS_AUDIT_FINISH,SUCCEEDED,"Sep 15, 2020, 07:02","Sep 15, 2020, 07:03","0 mins, 57 secs"
COMPACTION,MAPP_RS_AUDIT_START,SUCCEEDED,"Sep 15, 2020, 04:50","Sep 15, 2020, 04:54","3 mins, 58 secs"
COMPACTION,MUST_COMPACTION,SUCCEEDED,"Sep 15, 2020, 06:29","Sep 15, 2020, 07:11","42 mins, 3 secs"
COMPACTION,MWS_COMPACTION,SUCCEEDED,"Sep 15, 2020, 06:29","Sep 15, 2020, 07:02","32 mins, 37 secs"
COMPACTION,MWSAGILE_COMPACTION,SUCCEEDED,"Sep 15, 2020, 07:15","Sep 15, 2020, 07:21","6 mins, 30 secs"
COMPACTION,NVO_COMPACTION,SUCCEEDED,"Sep 15, 2020, 08:14","Sep 15, 2020, 08:25","11 mins, 0 secs"
COMPACTION,PQW_COMPACTION,SUCCEEDED,"Sep 15, 2020, 07:16","Sep 15, 2020, 07:42","25 mins, 44 secs"
COMPACTION,RULE_STUDIO_COMPACTION,WAITING,-,-,-
COMPACTION,SALESFORCE_COMPACTION,SUCCEEDED,"Sep 15, 2020, 06:55","Sep 15, 2020, 08:45","1 hrs, 49 mins, 12 secs"
COMPACTION,SBOM_COMPACTION,SUCCEEDED,"Sep 15, 2020, 06:29","Sep 15, 2020, 06:55","26 mins, 7 secs"
COMPACTION,SERVICEMAX_COMPACTION,RUNNING,"Sep 15, 2020, 07:21",-,-
COMPACTION,SIEBEL_AMERICAS_COMPACTION,RUNNING,"Sep 15, 2020, 06:54",-,-
COMPACTION,SIT_COMPACTION,RUNNING,"Sep 15, 2020, 08:45",-,-
ENTITY,CD_ENTITY_MASTER_SCHEDULE,WAITING,-,-,-
ENTITY,CI_ENTITY_MASTER_SCHEDULE,WAITING,-,-,-
ENTITY,CI_SR_ENTITY_SAM_SIT_MUST_BFE,WAITING,-,-,-
ENTITY,IB_INTEL_ENTITY_DQ_FRAMEWORK,WAITING,-,-,-
ENTITY,IB_INTEL_ENTITY_MASTER_SCHEDULE,WAITING,-,-,-
ENTITY,IB_UPGRADE_ENTITY_JOBS,WAITING,-,-,-
ENTITY,MAPP_ENTITY_DAILY_MASTER_SCHEDULE,SUCCEEDED,"Sep 15, 2020, 07:03","Sep 15, 2020, 07:48","45 mins, 23 secs"
ENTITY,MAPP_REFRESH_SPOTFIRE,WAITING,-,-,-
ENTITY,MAPP_SNAPSHOT_WRAPPER,WAITING,-,-,-
ENTITY,MAPP_UNSOURCED_SNAPSHOT_WRAPPER,RUNNING,"Sep 15, 2020, 08:19",-,-
ENTITY,SR_ENTITY_MASTER_SCHEDULE,WAITING,-,-,-
CDS,CI_CDS_AR_INVC_CDS_DTL_F_SUMMARY,WAITING,-,-,-
CDS,CI_CDS_MASTER_SCHEDULE,WAITING,-,-,-
CDS,IB_INTEL_CDS_MASTER_SCHEDULE,WAITING,-,-,-
CDS,MAPP_CDS_DAILY_MASTER_SCHEDULE,SUCCEEDED,"Sep 15, 2020, 07:48","Sep 15, 2020, 08:19","30 mins, 10 secs"
CDS,OUTLIERS_CDS_MASTER_SCHEDULE,WAITING,-,-,-
CDS,SR_CDS_MASTER_SCHEDULE,WAITING,-,-,-
